# daint-gpu: haswell 12c/cn + 1P100/cn 
# GROMACS/5.1.4-CrayGNU-2016.11-cuda-8.0.54
# cn / speedup / ideal speedup / efficiency(%) / nsperday / cores / ptlite
  1   1.00  1.00   100  1.568    12
  2   1.80  2.00    90  2.825    24
  4   3.57  4.00    89  5.591    48
  8   5.75  8.00    72  9.0181   96
 16   9.73  16.00   61  15.254   192    todo
 32  15.44  32.00   48  24.216   384
 64  25.63  64.00   40  40.182   768
# 128  31.50  128.00  25  49.387   1536
# 256  35.81  256.00  14  56.149   3072
# 384  19.37  384.00   5  30.373   4608
# 448  17.51  448.00   4  27.449   5376
# 512  21.73  512.00   4  34.075   6144


# daint-mc: broadwell 36c/cn
# GROMACS/5.1.4-CrayGNU-2016.11
# cn / speedup / ideal speedup / efficiency(%) / nsperday / cores / ptlite
  1   1.00    1.00  100  1.413    36
  2   1.97    2.00  98   2.782    72
  4   3.61    4.00  90   5.094   144
  8   6.39    8.00  80   9.026   288
 16  11.54   16.00  72  16.303   576
 32  19.70   32.00  62  27.842  1152    todo
 64  25.18   64.00  39  35.585  2304
# 128  30.81  128.00  24  43.531  4608
# 256  30.34  256.00  12  42.864  9216
